Product Name,Selling Price,Actual Price,User Rating,User Ratings & Reviews,Specifications
Product Name Not Found,Price Not Available,Actual Price Not Available,Rating Not Available,Ratings & Reviews Not Available,Specifications Not Available
Product Name Not Found,Price Not Available,Actual Price Not Available,Rating Not Available,Ratings & Reviews Not Available,Specifications Not Available
"POCO C65 (Matte Black, 128 GB)","₹6,799","₹10,999",4.2,"14,268 Ratings & 1,001 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP | 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
"MOTOROLA G04 (Sea Green, 128 GB)","₹7,999","₹10,999",4.1,"3,545 Ratings & 363 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display16MP Rear Camera | 5MP Front Camera5000 mAh BatteryUnisoc T606 Processor1 Year on Handset and 6 Months on Accessories
"MOTOROLA G04 (Satin Blue, 64 GB)","₹6,999","₹9,999",4.2,"7,982 Ratings & 646 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display16MP Rear Camera | 5MP Front Camera5000 mAh BatteryUnisoc T606 Processor1 Year on Handset and 6 Months on Accessories
"Motorola g64 5G (Mint Green, 256 GB)","₹15,999","₹19,999",4.1,"1,238 Ratings & 81 Reviews",12 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display50MP (OIS) + 8MP | 16MP Front Camera6000 mAh BatteryDimensity 7025 Processor1 Year on Handset and 6 Months on Accessories
"REDMI Note 13 Pro 5G (Midnight Black, 128 GB)","₹24,999","₹28,999",4.3,"11,396 Ratings & 1,229 Reviews",8 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Display200MP (OIS) + 8MP + 2MP | 16MP Front Camera5100 mAh Battery7s Gen 2 Mobile Platform 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"REDMI Note 13 Pro+ 5G (Fusion Black, 256 GB)","₹30,999","₹33,999",4.2,"5,781 Ratings & 744 Reviews",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display200MP (OIS) + 8MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7200 Ultra 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
Product Name Not Found,Price Not Available,Actual Price Not Available,Rating Not Available,Ratings & Reviews Not Available,Specifications Not Available
Product Name Not Found,Price Not Available,Actual Price Not Available,Rating Not Available,Ratings & Reviews Not Available,Specifications Not Available
Product Name Not Found,Price Not Available,Actual Price Not Available,4.6,Ratings & Reviews Not Available,Specifications Not Available
Product Name Not Found,Price Not Available,Actual Price Not Available,Rating Not Available,Ratings & Reviews Not Available,Specifications Not Available
